289	7022.76	0.20599	55.17	102.92	275.68	0.186642	298.89	3.52	14.33	3.01	26.32	259.85
288	7407.41	0.202055	54.75	86.35	273.17	0.180309	296.26	3.45	13.24	3.04	26.38	276.28
287	7379.95	0.20375	55.04	87.3	274.68	0.170845	300.47	3.62	11.89	2.99	26.49	278.66
286	7207.76	0.208133	56.18	87.99	278.59	0.171728	305.71	3.68	12.66	3.13	26.82	271.12
285	7078.5	0.205861	54.74	83.76	265.31	0.166887	287.43	3.19	10.24	2.88	24.5	263.27
284	6767.31	0.194124	53.18	85.72	271.56	0.166645	291.69	2.89	10.26	3.08	26.86	250.93
283	6468.4	0.200558	55.75	87.64	279.15	0.186771	305.88	3.24	10.62	3.36	28.47	239.52
282	6130.53	0.202711	56.39	88.84	285.94	0.200415	307.75	3.48	10.87	3.82	28.79	228.12
281	6153.85	0.202785	57.11	88.65	283.93	0.201337	305.09	3.54	10.86	4.04	27.76	227.1
280	5753.09	0.201835	54.69	86.31	275.69	0.197236	296.3	3.46	10.55	4.29	27.35	211.84
279	5780.9	0.202785	55.33	86.75	280.48	0.19794	297.42	3.54	10.38	4.4	28.76	212.55
278	5904.83	0.203628	55.74	88.58	286.13	0.199005	296.53	3.62	10.5	4.39	28.33	216.59
277	5750.8	0.204604	56.49	88.13	289.14	0.206495	297.93	3.7	10.63	4.92	28.54	206.32
276	5526.64	0.206644	55.96	88.4	293.2	0.212616	298.33	3.76	10.6	4	30.15	193.7
275	5930.32	0.196928	54.92	85.21	284.23	0.199053	286.95	3.67	10.28	3.38	27.51	198.57
274	6008.42	0.204177	56.81	86.58	275.7	0.211949	295.45	3.58	10.83	3.15	28.79	205.04
273	6031.6	0.211016	58.2	88.12	277.86	0.212676	300.19	3.58	10.92	3.02	27.13	210.4
272	6011.45	0.210549	60.33	90.54	289.19	0.215947	304.01	3.66	11.22	2.96	27.75	213.46
271	5708.52	0.21515	59.74	88.62	295.47	0.220531	308.09	3.89	11.34	3.09	28.66	199.79
270	5590.69	0.21852	60.73	89.54	297.26	0.220316	314.32	4.04	11.53	3.22	29.67	195.38
269	5605.51	0.232064	59.48	91.28	299.88	0.218207	317.08	3.92	11.92	3.06	31.4	193.95
268	5725.59	0.256232	64.62	95.9	302.21	0.223181	333.38	4.02	11.89	2.98	28.53	199.63
267	5678.19	0.263983	65.47	94.87	309.51	0.2073	336.6	3.8	11.95	3.01	27.73	193.03
266	5831.79	0.25732	63.95	100.23	316.69	0.210581	339.63	4	12.26	2.85	27.8	199.74
265	5647.21	0.260489	59.43	95.13	310.38	0.211569	338.76	3.97	12.18	3.14	29.35	196.72
264	5446.91	0.248414	60.11	87.09	291.91	0.206147	304.14	3.69	11.96	3.12	28.18	188.09
263	4826.48	0.264439	50.89	87.42	298.4	0.214811	303.46	4.18	11.49	3.51	29.96	166.59
262	4781.99	0.260733	50.72	86.82	291.27	0.209909	299.87	4.12	11.54	3.4	29.31	161.25
261	4772.02	0.251825	50.16	85.49	283.67	0.194931	297.39	4.13	11.5	3.35	29.1	158.66
